PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,PTS,REB,AST,STATS_TIMEFRAME,FROM_YEAR,TO_YEAR,PLAYER_NAME,HEIGHT_INCHES,WEIGHT_LBS,IS_UNDRAFTED
76001,Abdelnaby,Alaa,alaa-abdelnaby,1610612757,blazers,0,Portland,Trail Blazers,POR,30,F,Duke,USA,1990.0,1.0,25.0,,5.7,3.3,0.3,Career,1990,1994,Alaa Abdelnaby,82.0,240.0,False
76002,Abdul-Aziz,Zaid,zaid-abdul-aziz,1610612745,rockets,0,Houston,Rockets,HOU,54,C,Iowa State,USA,1968.0,1.0,5.0,,9.0,8.0,1.2,Career,1968,1977,Zaid Abdul-Aziz,81.0,235.0,False
76003,Abdul-Jabbar,Kareem,kareem-abdul-jabbar,1610612747,lakers,0,Los Angeles,Lakers,LAL,33,C,UCLA,USA,1969.0,1.0,1.0,,24.6,11.2,3.6,Career,1969,1988,Kareem Abdul-Jabbar,86.0,225.0,False
51,Abdul-Rauf,Mahmoud,mahmoud-abdul-rauf,1610612743,nuggets,0,Denver,Nuggets,DEN,1,G,Louisiana State,USA,1990.0,1.0,3.0,,14.6,1.9,3.5,Career,1990,2000,Mahmoud Abdul-Rauf,73.0,162.0,False
1505,Abdul-Wahad,Tariq,tariq-abdul-wahad,1610612758,kings,0,Sacramento,Kings,SAC,9,F-G,San Jose State,France,1997.0,1.0,11.0,,7.8,3.3,1.1,Career,1997,2003,Tariq Abdul-Wahad,78.0,235.0,False
949,Abdur-Rahim,Shareef,shareef-abdur-rahim,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,3,F,California,USA,1996.0,1.0,3.0,,18.1,7.5,2.5,Career,1996,2007,Shareef Abdur-Rahim,81.0,245.0,False
76005,Abernethy,Tom,tom-abernethy,1610612744,warriors,0,Golden State,Warriors,GSW,5,F,Indiana,USA,1976.0,3.0,43.0,,5.6,3.2,1.2,Career,1976,1980,Tom Abernethy,79.0,220.0,False
76006,Able,Forest,forest-able,1610612755,sixers,0,Philadelphia,76ers,PHI,6,G,Western Kentucky,USA,1956.0,,,,0.0,1.0,1.0,Career,1956,1956,Forest Able,75.0,180.0,True
76007,Abramovic,John,john-abramovic,1610610031,,1,Pittsburgh,Ironmen,PIT,,F,Salem,USA,,,,,9.5,0.0,0.7,Career,1946,1947,John Abramovic,75.0,195.0,True
203518,Abrines,Alex,alex-abrines,1610612760,thunder,0,Oklahoma City,Thunder,OKC,8,G,FC Barcelona,Spain,2013.0,2.0,32.0,,5.3,1.4,0.5,Career,2016,2018,Alex Abrines,78.0,190.0,False
1630173,Achiuwa,Precious,precious-achiuwa,1610612752,knicks,0,New York,Knicks,NYK,5,F,Memphis,Nigeria,2020.0,1.0,20.0,1.0,6.6,5.6,1.0,Season,2020,2024,Precious Achiuwa,80.0,243.0,False
101165,Acker,Alex,alex-acker,1610612746,clippers,0,LA,Clippers,LAC,3,G,Pepperdine,USA,2005.0,2.0,60.0,,2.7,1.0,0.5,Career,2005,2008,Alex Acker,77.0,185.0,False
76008,Ackerman,Donald,donald-ackerman,1610612752,knicks,0,New York,Knicks,NYK,,G,Long Island-Brooklyn,USA,1953.0,2.0,,,1.5,0.5,0.8,Career,1953,1953,Donald Ackerman,72.0,183.0,True
76009,Acres,Mark,mark-acres,1610612753,magic,0,Orlando,Magic,ORL,42,C,Oral Roberts,USA,1985.0,2.0,40.0,,3.6,4.1,0.5,Career,1987,1992,Mark Acres,83.0,220.0,False
76010,Acton,Charles,charles-acton,1610612745,rockets,0,Houston,Rockets,HOU,24,F,Hillsdale,USA,,,,,3.3,2.0,0.5,Career,1967,1967,Charles Acton,78.0,210.0,True
203112,Acy,Quincy,quincy-acy,1610612758,kings,0,Sacramento,Kings,SAC,13,F,Baylor,USA,2012.0,2.0,37.0,,4.9,3.5,0.6,Career,2012,2018,Quincy Acy,79.0,240.0,False
76011,Adams,Alvan,alvan-adams,1610612756,suns,0,Phoenix,Suns,PHX,33,C,Oklahoma,USA,1975.0,1.0,4.0,,14.1,7.0,4.1,Career,1975,1987,Alvan Adams,81.0,210.0,False
76012,Adams,Don,don-adams,1610612765,pistons,0,Detroit,Pistons,DET,10,F,Northwestern,USA,1970.0,8.0,120.0,,8.7,5.6,1.8,Career,1970,1976,Don Adams,79.0,210.0,False
200801,Adams,Hassan,hassan-adams,1610612751,nets,0,Brooklyn,Nets,BKN,8,F,Arizona,USA,2006.0,2.0,54.0,,2.5,1.2,0.2,Career,2006,2008,Hassan Adams,76.0,220.0,False
1629121,Adams,Jaylen,jaylen-adams,1610612737,hawks,0,Atlanta,Hawks,ATL,10,G,St. Bonaventure,USA,,,,,2.7,1.5,1.6,Career,2018,2020,Jaylen Adams,72.0,225.0,True
203919,Adams,Jordan,jordan-adams,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,3,G,UCLA,USA,2014.0,1.0,22.0,,3.2,0.9,0.6,Career,2014,2015,Jordan Adams,77.0,209.0,False
